Source,Target,Value
0,8,5
0,9,5
0,10,31
8,11,5
9,11,5
10,11,27
10,12,4
11,13,37
12,13,4
1,8,23
1,9,120
1,10,0
8,11,23
9,11,120
10,11,0
8,12,0
9,12,0
10,12,0
11,13,143
12,13,0
2,8,49
2,9,0
2,10,5
8,11,49
9,11,0
10,11,5
8,12,6
9,12,0
10,12,0
11,13,60
12,13,0
3,8,670
3,9,800
3,10,850
8,11,600
9,11,720
10,11,760
8,12,50
9,12,75
10,12,90
11,13,2000
12,13,200
4,8,0
4,9,45
4,10,62
8,11,0
9,11,40
10,11,57
8,12,0
9,12,5
10,12,5
11,13,97
12,13,10
5,8,73
5,9,106
5,10,77
8,11,65
9,11,92
10,11,67
8,12,8
9,12,14
10,12,10
11,13,224
12,13,32
6,8,8
6,9,19
6,10,78
8,11,7
9,11,16
10,11,68
8,12,1
9,12,3
10,12,10
11,13,91
12,13,14
7,8,326
7,9,271
7,10,0
8,11,285
9,11,235
10,11,0
8,12,41
9,12,36
10,12,0
11,13,520
12,13,77
1,8,2
8,11,2
11,14,2
2,8,3
8,11,3
11,14,3
3,8,2
8,11,2
11,14,2
3,9,12
8,11,12
11,14,12
3,10,8
10,12,8
12,14,8
4,10,1
10,11,1
11,14,1
4,10,2
10,12,2
12,14,2
5,10,1
10,11,1
11,14,2
6,10,2
10,11,2
11,14,5
7,10,5
10,11,5
11,14,3
11,15,3
12,15,3
3,8,34
3,9,7
3,10,6
8,11,5
9,11,7
10,12,6
11,16,5
11,16,7
12,16,5
11,17,8
12,17,7
8,11,60
9,11,60
10,12,54
11,18,60
11,18,60
12,18,54
8,11,10
9,11,8
10,12,5
11,19,10
11,19,8
12,19,5
11,20,76
11,20,30
12,20,15